Date,Close
2019-05-15,104.160004
2019-05-16,106.680000
2019-05-17,104.160004
2019-05-20,101.879997
2019-05-21,103.919998
2019-05-22,103.320000
2019-05-23,99.000000
2019-05-24,99.720001
2019-05-28,99.959999
2019-05-29,97.440002
2019-05-30,96.000000
2019-05-31,91.080002
2019-06-03,85.919998
2019-06-04,94.440002
2019-06-05,92.760002
2019-06-06,90.360001
2019-06-07,91.680000
2019-06-10,95.279999
2019-06-11,93.360001
2019-06-12,93.000000
2019-06-13,90.839996
2019-06-14,90.720001
2019-06-17,91.199997
2019-06-18,90.720001
2019-06-19,89.760002
2019-06-20,89.279999
2019-06-21,87.599998
2019-06-24,90.120003
2019-06-25,89.519997
2019-06-26,91.559998
2019-06-27,93.959999
2019-06-28,93.839996
2019-07-01,93.959999
2019-07-02,91.559998
2019-07-03,92.160004
2019-07-05,90.480003
2019-07-08,89.279999
2019-07-09,88.080002
2019-07-10,88.680000
2019-07-11,86.160004
2019-07-12,81.239998
2019-07-15,84.120003
2019-07-16,85.919998
2019-07-17,88.919998
2019-07-18,83.400002
2019-07-19,82.080002
2019-07-22,80.760002
2019-07-23,79.919998
2019-07-24,78.599998
2019-07-25,77.879997
2019-07-26,76.919998
2019-07-29,74.519997
2019-07-30,75.000000
2019-07-31,75.000000
2019-08-01,70.199997
2019-08-02,75.959999
2019-08-05,74.279999
2019-08-06,81.959999
2019-08-07,79.440002
2019-08-08,79.680000
2019-08-09,78.480003
2019-08-12,79.080002
2019-08-13,79.919998
2019-08-14,73.080002
2019-08-15,68.040001
2019-08-16,71.879997
2019-08-19,70.080002
2019-08-20,71.160004
2019-08-21,70.080002
2019-08-22,69.480003
2019-08-23,67.680000
2019-08-26,69.599998
2019-08-27,66.839996
2019-08-28,66.959999
2019-08-29,66.599998
2019-08-30,66.000000
2019-09-03,68.040001
2019-09-04,67.080002
2019-09-05,70.320000
2019-09-06,72.959999
2019-09-09,72.120003
2019-09-10,75.360001
2019-09-11,77.879997
2019-09-12,70.680000
2019-09-13,71.400002
2019-09-16,65.400002
2019-09-17,63.240002
2019-09-18,63.240002
2019-09-19,61.919998
2019-09-20,60.240002
2019-09-23,60.959999
2019-09-24,57.119999
2019-09-25,57.119999
2019-09-26,56.880001
2019-09-27,55.439999
2019-09-30,52.680000
2019-10-01,49.439999
2019-10-02,49.799999
2019-10-03,54.119999
2019-10-04,52.799999
2019-10-07,49.320000
2019-10-08,49.799999
2019-10-09,49.320000
2019-10-10,44.639999
2019-10-11,44.160000
2019-10-14,42.119999
2019-10-15,45.119999
2019-10-16,43.320000
2019-10-17,46.680000
2019-10-18,44.160000
2019-10-21,44.279999
2019-10-22,42.959999
2019-10-23,44.040001
2019-10-24,44.639999
2019-10-25,45.599998
2019-10-28,44.279999
2019-10-29,43.200001
2019-10-30,43.320000
2019-10-31,43.080002
2019-11-01,42.959999
2019-11-04,43.200001
2019-11-05,45.119999
2019-11-06,44.759998
2019-11-07,42.959999
2019-11-08,45.720001
2019-11-11,43.439999
2019-11-12,42.840015
2019-11-13,42.600018
2019-11-14,39.480015
2019-11-15,32.759998
2019-11-18,27.360001
2019-11-19,28.080000
2019-11-20,31.680000
2019-11-21,37.439999
2019-11-22,32.400002
