,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,,,Active Users % of Approved Users,,,,,,,,,,,,,
1,,,Approved,Period (4 weeks),,,,,,,,,,,,,
2,,Cohort,Users,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
3,,2019-01-01 00:00:00,84,0.273809523809523,0.0833333333333333,0.0476190476190476,0.0595238095238095,0.0119047619047619,0.0238095238095238,0.0119047619047619,,,,,,0.0119047619047619,
4,,2019-02-01 00:00:00,305,0.19344262295081902,0.0295081967213114,0.0163934426229508,0.009836065573770491,0.009836065573770491,0.0032786885245901596,0.0032786885245901596,0.0032786885245901596,0.009836065573770491,0.006557377049180319,0.0032786885245901596,0.0032786885245901596,0.0032786885245901596,0.006557377049180319
5,,2019-03-01 00:00:00,149,0.187919463087248,0.0268456375838926,0.0201342281879194,0.00671140939597315,0.0201342281879194,,0.00671140939597315,0.0134228187919463,,,0.00671140939597315,0.00671140939597315,0.00671140939597315,
6,,2019-04-01 00:00:00,315,0.266666666666666,0.044444444444444405,0.019047619047619,0.0126984126984126,0.0126984126984126,,,0.00317460317460317,0.00634920634920634,0.00952380952380952,0.00634920634920634,0.00634920634920634,,
7,,2019-05-01 00:00:00,154,0.18181818181818102,0.0389610389610389,0.0064935064935064905,,,0.0064935064935064905,0.0194805194805194,,0.0064935064935064905,0.0064935064935064905,,,,
8,,2019-06-01 00:00:00,86,0.174418604651162,0.0348837209302325,0.0348837209302325,0.0465116279069767,0.0348837209302325,0.0348837209302325,0.0348837209302325,,0.0348837209302325,0.011627906976744101,,,,
9,,2019-07-01 00:00:00,102,0.137254901960784,0.039215686274509796,0.0294117647058823,0.0294117647058823,0.019607843137254898,,0.019607843137254898,0.019607843137254898,0.019607843137254898,,,,,
10,,2019-08-01 00:00:00,98,0.0408163265306122,0.0204081632653061,,0.0204081632653061,0.030612244897959103,0.010204081632653,0.0204081632653061,0.010204081632653,,,,,,
11,,2019-09-01 00:00:00,76,0.105263157894736,0.0131578947368421,0.0131578947368421,0.0131578947368421,,,0.0394736842105263,,,,,,,
12,,2019-10-01 00:00:00,74,0.0945945945945946,0.054054054054054,0.0405405405405405,0.0135135135135135,0.027027027027027,0.0405405405405405,,,,,,,,
13,,2019-11-01 00:00:00,72,0.291666666666666,0.0972222222222222,0.0694444444444444,0.0833333333333333,0.0555555555555555,,,,,,,,,
14,,2019-12-01 00:00:00,56,0.16071428571428498,0.0714285714285714,,0.0714285714285714,,,,,,,,,,
15,,2020-01-01 00:00:00,161,0.298136645962732,0.09937888198757759,0.0683229813664596,,,,,,,,,,,
16,,2020-02-01 00:00:00,211,0.331753554502369,0.0758293838862559,,,,,,,,,,,,
17,,2020-03-01 00:00:00,275,0.27636363636363603,,,,,,,,,,,,,
18,,Total,2218,0.22272317403065764,0.04373309287646525,0.020288548241659127,0.015329125338142449,0.011271415689810611,0.0049594229035166745,0.007213706041478799,0.003155996393146974,0.004959422903516678,0.0031559963931469745,0.0018034265103697,0.0018034265103697,0.0013525698827772756,0.00090171325518485
